"","pano_id","x","y","direction"
"69","TMX7316010203-000221_pano_0000_001302",4.90718644155954,52.3624284653597,3
"70","TMX7316010203-000221_pano_0000_001303",4.90724353857615,52.3623466605465,3
"71","TMX7316010203-000221_pano_0000_001304",4.90737557562878,52.3623158278643,2
"72","TMX7316010203-000221_pano_0000_001305",4.90736750688867,52.3624063379472,1
"73","TMX7316010203-000221_pano_0000_001316",4.90677679060056,52.3633474799746,1
"74","TMX7316010203-000221_pano_0000_001317",4.9067342478324,52.3634320322414,2
"75","TMX7316010203-000221_pano_0000_001318",4.90669383441129,52.3635159714898,1
"76","TMX7316010203-000221_pano_0000_001320",4.90659973379962,52.3636791604006,2
"77","TMX7316010203-000221_pano_0000_001338",4.90651164979587,52.3638149811589,1
"78","TMX7316010203-000221_pano_0000_001342",4.90631858912697,52.3641332546179,2
"79","TMX7316010203-000221_pano_0000_001354",4.90570363788647,52.3651387263359,1
"80","TMX7316010203-000221_pano_0000_001356",4.90559580725274,52.3653064930185,1
"81","TMX7316010203-000221_pano_0000_001357",4.90553911000012,52.3653898701986,1
"82","TMX7316010203-000221_pano_0000_001368",4.90496138546211,52.366319307261,2
"83","TMX7316010203-000221_pano_0000_001369",4.90491979028088,52.3664059007384,1
"84","TMX7316010203-000234_pano_0001_000734",4.91449247646763,52.3625604400138,1
"85","TMX7316010203-000234_pano_0001_000735",4.91434708328301,52.3625441665696,4
"86","TMX7316010203-000234_pano_0001_000757",4.91133214469777,52.3619148794973,3
"87","TMX7316010203-000234_pano_0001_000771",4.90941709820943,52.3614826296849,2
"88","TMX7316010203-000243_pano_0001_001908",4.91976493203239,52.363470618425,1
"89","TMX7316010203-000243_pano_0001_001915",4.91877774100334,52.3635461394339,1
"90","TMX7316010203-000243_pano_0001_001916",4.91865501814525,52.3634976320278,3
"91","TMX7316010203-000243_pano_0001_001947",4.9144161216601,52.362561138,4
"92","TMX7316010203-000254_pano_0001_000602",4.90744571325817,52.3622802877469,1
"93","TMX7316010203-000254_pano_0001_000603",4.90739751274438,52.3623656947621,2
"94","TMX7316010203-000254_pano_0001_000606",4.90723325019764,52.3626168483765,1
"95","TMX7316010203-000254_pano_0001_000613",4.90686825947725,52.3632121015575,1
"96","TMX7316010203-000299_pano_0002_004310",4.90479518011169,52.3663751787445,4
"97","TMX7316010203-000299_pano_0002_004322",4.90540189903292,52.3653662394913,3
