"","pano_id","geometry","direction"
"1","TMX7316010203-000264_pano_0001_002173","4.85039362883324 52.3532466241204",2
"2","TMX7316010203-000264_pano_0001_002174","4.85039174420587 52.3533412764713",2
"3","TMX7316010203-000264_pano_0001_002176","4.85039569657254 52.3535316019922",2
"4","TMX7316010203-000264_pano_0001_002177","4.85039185741842 52.3536252412701",1
"5","TMX7316010203-000243_pano_0001_001033","4.94366263948674 52.3622252424355",1
"6","TMX7316010203-000243_pano_0001_001035","4.94390093495573 52.3621680867629",2
"7","TMX7316010203-000317_pano_0000_002953","4.88374122447578 52.4147708672908",4
"8","TMX7316010203-000317_pano_0000_002954","4.88369973907523 52.4147320148608",4
"9","TMX7316010203-000232_pano_0000_003114","4.94081057476358 52.3549485562129",4
"10","TMX7316010203-000232_pano_0000_003115","4.9409129865606 52.3548864597878",2
"11","TMX7316010203-000232_pano_0000_003850","4.93590515737466 52.3577792271864",3
"12","TMX7316010203-000322_pano_0000_008495","4.80933162396079 52.3893138386661",3
"13","TMX7316010203-000322_pano_0000_008496","4.80940561214374 52.3893104525991",2
"14","TMX7316010203-000322_pano_0000_008497","4.80947939736645 52.389307276949",2
"15","TMX7316010203-000257_pano_0000_000286","4.86641300095619 52.3413388037348",4
"16","TMX7316010203-000257_pano_0000_000293","4.86536214364339 52.3413023942897",1
"17","TMX7316010203-000257_pano_0000_000294","4.86523079499714 52.3412590462516",4
"18","TMX7316010203-000257_pano_0000_000295","4.86517375727265 52.3412053680892",3
"19","TMX7316010203-000293_pano_0000_006188","4.80334565093484 52.3837066026514",2
"20","TMX7316010203-000293_pano_0000_006206","4.80266336581278 52.3823544413558",3
"21","TMX7316010203-000252_pano_0000_003601","4.89535853477043 52.3482364007329",4
"22","TMX7316010203-000292_pano_0001_000024","4.7917880012575 52.3547965666997",4
"23","TMX7316010203-000292_pano_0001_000025","4.79183534953231 52.3547110475403",4
"24","TMX7316010203-000292_pano_0001_000026","4.79188320483116 52.3546254697865",3
"25","TMX7316010203-000292_pano_0001_000036","4.79235621592058 52.353769799007",3
"26","TMX7316010203-000288_pano_0001_002399","4.81648889979868 52.3554340930378",1
"27","TMX7316010203-000288_pano_0001_002400","4.81634952320976 52.3554063178474",4
"28","TMX7316010203-000288_pano_0001_002402","4.81607006432614 52.3553518038309",1
"29","TMX7316010203-000288_pano_0001_002403","4.81592990336735 52.3553246831089",4
"30","TMX7316010203-000288_pano_0001_002417","4.81397673679594 52.3549381061763",4
"31","TMX7316010203-000253_pano_0000_000918","4.88325646538203 52.3237803439703",4
"32","TMX7316010203-000253_pano_0000_000919","4.88326131459432 52.3236915072575",4
"33","TMX7316010203-000247_pano_0000_000055","4.91934330529373 52.372669939133",1
"34","TMX7316010203-000247_pano_0000_000059","4.91900821227189 52.3728842288692",1
"35","TMX7316010203-000247_pano_0000_000060","4.91903189619099 52.37296435034",2
"36","TMX7316010203-000247_pano_0000_000061","4.91912107615703 52.3730350980817",1
"37","TMX7316010203-000247_pano_0000_000074","4.92046487024372 52.3738818901245",2
