pano_id;uri;geom
678968;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000230_pano_0000_000028/;010100002040710000E5ED08E75421FE40FD135CEC4E981D41
678980;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000230_pano_0000_000113/;010100002040710000340EF53B9928FE40B2648E85A58F1D41
678981;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000230_pano_0000_000114/;01010000204071000059DB144FF827FE4060915F5FA48F1D41
679089;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000222/;01010000204071000001A1F5300303FE409EB470196C991D41
679093;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000243/;010100002040710000E1606F620C0CFE405DDF8733C19B1D41
679094;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000252/;0101000020407100001A886533AE0EFE40D4F02DFCF59C1D41
679095;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000253/;0101000020407100003C33C170050FFE40A7CAF73C169D1D41
679096;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000254/;0101000020407100009D2CB5DE500FFE4055D97725399D1D41
679097;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000255/;01010000204071000035D1E7639A0FFE4089CE324B5C9D1D41
679101;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000261/;0101000020407100000D51857F0F12FE40DE1D195B009E1D41
679104;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000264/;0101000020407100004B3E76971013FE4002BC05E2589E1D41
679105;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000265/;0101000020407100002CD7DB66CF12FE40FE2614627D9E1D41
679108;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000274/;010100002040710000E544BB4A5A10FE406DE34F04C39F1D41
679112;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000279/;010100002040710000605AD427010FFE407099D3D577A01D41
679114;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000281/;01010000204071000089D2DEA07D0EFE40759318A4C0A01D41
679116;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000283/;010100002040710000E869C020F90DFE4050340F5009A11D41
679117;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000284/;0101000020407100001C4300F0B40DFE407CD11E5F2DA11D41
679120;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000287/;0101000020407100005378D02CED0CFE40742843259AA11D41
679126;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000296/;01010000204071000038F8C2E4A50AFE40D0EFFB77DDA21D41
679130;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000300/;0101000020407100006F62484EAD09FE40B6F8147069A31D41
679158;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000357/;0101000020407100008A027D62E623FE4062A241AA79A71D41
679179;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000446/;01010000204071000028452BB76B59FE40EC4B368EF9A91D41
679230;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000531/;01010000204071000027C11B12DE64FE40168A748F33A11D41
679233;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000534/;01010000204071000066FA25E2B164FE407F8637ABC6A01D41
679234;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000535/;0101000020407100008D463EEF1965FE4006F2EC82A8A01D41
679245;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000546/;01010000204071000070404B57D069FE4082E7DE93679F1D41
679253;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000591/;010100002040710000726BD2EDFF5BFE40F9BF233A679A1D41
679256;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000594/;010100002040710000E31B0ADF9F5AFE4027840E6A149A1D41
679257;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000595/;010100002040710000992B83EA315AFE4049F25C2FF7991D41
679272;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000611/;010100002040710000BCCFF151DF52FE40CE8B132F3E981D41
679300;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000639/;0101000020407100008A01128D0D5EFE40971B0C35FB941D41
679315;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000231_pano_0002_000654/;0101000020407100007C7E18A18D64FE40A62BD8D652931D41
679345;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000232_pano_0000_000025/;010100002040710000011764CB6344FE40302FC0FEF5941D41
679348;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000232_pano_0000_000028/;01010000204071000066F50EB70643FE40C5E23705A4941D41
679367;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000232_pano_0000_000047/;01010000204071000072C0AEA67C3AFE401BBCAF6AAD921D41
679368;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000232_pano_0000_000048/;0101000020407100000F289BB2063AFE40698B6B4C92921D41
679370;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000232_pano_0000_000050/;010100002040710000618A7229A239FE40854204CC4B921D41
680063;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000232_pano_0000_001256/;01010000204071000095641DCEAA3AFE4079CBD51F0A921D41
680071;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000232_pano_0000_001265/;010100002040710000460C3BCC803EFE401D9430830A911D41
680074;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000232_pano_0000_001268/;0101000020407100003354C5D4C83FFE4043C70EDAB5901D41
680083;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000232_pano_0000_001277/;010100002040710000B8CD5488A943FE40A86E2ECEB68F1D41
