ogc_fid;gml_id;id;display;roll;pitch;heading;timeposition;year;url;uri;wkb_geometry
35382;panorama_recent_2017.712121;712121;TMX7316010203-000252_pano_0000_000586;0.574844903575187;-0.228246743068517;344.537167541681;2017-04-07T13:33:01Z;2017;https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_000586/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000252_pano_0000_000586/;0101000020407100007E01BDB0ABEDFD40A01B9A421A891D41
35381;panorama_recent_2017.712120;712120;TMX7316010203-000252_pano_0000_000585;0.13455897783368;-0.229666881322885;342.708393125108;2017-04-07T13:32:59Z;2017;https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_000585/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000252_pano_0000_000585/;0101000020407100006B47718E83EDFD403929CC2B42891D41
35376;panorama_recent_2017.712115;712115;TMX7316010203-000252_pano_0000_000580;-1.70839611967195;-0.284932335385597;342.402837188047;2017-04-07T13:32:26Z;2017;https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_000580/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000252_pano_0000_000580/;0101000020407100007BBE6639A9ECFD4075ADBDCF2C8A1D41
35225;panorama_recent_2017.711959;711959;TMX7316010203-000252_pano_0000_000416;-0.854530479955283;0.346061350038096;167.58403834344;2017-04-07T13:27:42Z;2017;https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_000416/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000252_pano_0000_000416/;010100002040710000D15D1227F0EBFD408E1F2AFD018B1D41
36021;panorama_recent_2017.712788;712788;TMX7316010203-000252_pano_0000_001680;2.16489044290209;0.124471297342957;254.592372081116;2017-04-07T14:08:02Z;2017;https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_001680/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000252_pano_0000_001680/;01010000204071000000AAB87188CBFD40EA3D95E323911D41
35809;panorama_recent_2017.712558;712558;TMX7316010203-000252_pano_0000_001209;0.252403827796991;-0.19445347483797;255.223682757349;2017-04-07T13:52:53Z;2017;https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_001209/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000252_pano_0000_001209/;010100002040710000A33F34B349C1FD40B5C1890811941D41
35847;panorama_recent_2017.712596;712596;TMX7316010203-000252_pano_0000_001247;-0.220760908295752;-0.830176891962101;75.4345451350013;2017-04-07T13:54:01Z;2017;https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_001247/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000252_pano_0000_001247/;01010000204071000087DEE26103CFFD404F1F81CF80921D41
35822;panorama_recent_2017.712571;712571;TMX7316010203-000252_pano_0000_001222;-0.390275357181037;-0.56554707507629;254.771493619994;2017-04-07T13:53:09Z;2017;https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_001222/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000252_pano_0000_001222/;0101000020407100007B4D0F0A3CC9FD40C5FF1D1180941D41
36377;panorama_recent_2017.713172;713172;TMX7316010203-000252_pano_0000_002190;-0.568014406466039;3.73658276620989;75.2111404124761;2017-04-07T14:25:21Z;2017;https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_002190/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000252_pano_0000_002190/;010100002040710000F7730AB22AB8FD403E92928E8E931D41
35898;panorama_recent_2017.712659;712659;TMX7316010203-000252_pano_0000_001410;0.862695086401366;-0.0971045938246629;264.344596741341;2017-04-07T14:00:04Z;2017;https://data.amsterdam.nl/panorama/2017/04/07/TMX7316010203-000252/pano_0000_001410/equirectangular/panorama_8000.jpg;https://api.data.amsterdam.nl/panorama/recente_opnames/2017/TMX7316010203-000252_pano_0000_001410/;010100002040710000D2A75574D7B6FD40F7C9519086921D41
